# Sweep design -- generated by generate_design.py
# campaign=CDP_drucker_prager_unified family=glassy_pc label=Unified Drucker-Prager (semicrystalline + glassy)
# method=morris n_runs=90 n_factors=8 seed=42
# morris r=10 p=4 delta=0.666667 candidates=200 maximin=6574.4193
# active_factors=X,h,w,eps_c,beta,K,mu_eff,phi
#   X in [5, 60] (log) Johnson parameter E* tan(theta) / sigma_y0
#   h in [0, 0.45] (lin) G'Sell orientation hardening exp(h eps^2)
#   w in [-0.35, 0.35] (lin) signed post-yield amplitude / sigma_y0: w < 0 = intrinsic softening (glassy), w > 0 = Voce hardening (semicrystalline)
#   eps_c in [0.02, 0.12] (lin) strain scale of whichever post-yield branch is active (eps_soft if w < 0, 1/b if w > 0)
#   beta in [1, 35] (lin) Drucker-Prager friction angle (1 deg ~ J2)
#   K in [0.778, 1] (lin) flow stress ratio (Abaqus lower bound 0.778)
#   mu_eff in [0.05, 0.45] (lin) effective friction at scratch pressure
#   phi in [0, 1] (lin) alpha / mu_eff, pressure-independent fraction
# frozen=b_voce=8.0,b_voce_note=superseded by 1/eps_c in CDP; kept for traceability,dilation_angle_deg=0.0,eps_max=2.5,n_points=60,nu=0.39,rationale_nu=first-order effect absorbed by X = E* tan(theta) / sigma_y0,rationale_sigma_y0=arbitrary: stress-scale invariance makes forces scale exactly,rho=1.1e-09,sigma_y0_ref_MPa=50.0
# geometry: tip_radius=0.2 mm cone_angle=60 deg scratch_depth=-0.04 mm
# NOTE: p_* columns are traceability only; the Abaqus side re-derives
#       them in-kernel from the g_* columns via families.py.
id,campaign,family,method,traj,step,moved,sign,u_X,u_h,u_w,u_eps_c,u_beta,u_K,u_mu_eff,u_phi,g_X,g_h,g_w,g_eps_c,g_beta,g_K,g_mu_eff,g_phi,p_E,p_E_star,p_Q,p_X,p_alpha,p_attack_angle_deg,p_b,p_branch,p_dilation_angle,p_eps_c,p_eps_max,p_eps_soft,p_flow_stress_ratio,p_friction_angle,p_h,p_mu_eff,p_n_points,p_nu,p_p_ref_MPa,p_phi,p_rho,p_sigma_y0,p_soft_drop,p_tau0,p_w
00001,CDP_drucker_prager_unified,glassy_pc,morris,0,0,,0,1,0,0.3333333333,0,0,0.6666666667,0,0.3333333333,60,0,-0.1166666667,0.02,1,0.926,0.05,0.3333333333,4405.817639,5196.152423,0,60,0.01666666667,30,50,-1,0,0.02,2.5,0.02,0.926,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,5.833333333,4.666666667,-0.1166666667
00002,CDP_drucker_prager_unified,glassy_pc,morris,0,1,w,1,1,0,1,0,0,0.6666666667,0,0.3333333333,60,0,0.35,0.02,1,0.926,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.926,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00003,CDP_drucker_prager_unified,glassy_pc,morris,0,2,K,-1,1,0,1,0,0,0,0,0.3333333333,60,0,0.35,0.02,1,0.778,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.778,1,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00004,CDP_drucker_prager_unified,glassy_pc,morris,0,3,beta,1,1,0,1,0,0.6666666667,0,0,0.3333333333,60,0,0.35,0.02,23.66666667,0.778,0.05,0.3333333333,4405.817639,5196.152423,17.5,60,0.01666666667,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0,0.05,60,0.39,140,0.3333333333,1.1e-09,50,0,4.666666667,0.35
00005,CDP_drucker_prager_unified,glassy_pc,morris,0,4,phi,1,1,0,1,0,0.6666666667,0,0,1,60,0,0.35,0.02,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00006,CDP_drucker_prager_unified,glassy_pc,morris,0,5,h,1,1,0.6666666667,1,0,0.6666666667,0,0,1,60,0.3,0.35,0.02,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,50,1,0,0.02,2.5,0.02,0.778,23.66666667,0.3,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00007,CDP_drucker_prager_unified,glassy_pc,morris,0,6,eps_c,1,1,0.6666666667,1,0.6666666667,0.6666666667,0,0,1,60,0.3,0.35,0.08666666667,23.66666667,0.778,0.05,1,4405.817639,5196.152423,17.5,60,0.05,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.35
00008,CDP_drucker_prager_unified,glassy_pc,morris,0,7,mu_eff,1,1,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,60,0.3,0.35,0.08666666667,23.66666667,0.778,0.3166666667,1,4405.817639,5196.152423,17.5,60,0.3166666667,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00009,CDP_drucker_prager_unified,glassy_pc,morris,0,8,X,-1,0.3333333333,0.6666666667,1,0.6666666667,0.6666666667,0,0.6666666667,1,11.44714243,0.3,0.35,0.08666666667,23.66666667,0.778,0.3166666667,1,840.5670336,991.3516141,17.5,11.44714243,0.3166666667,30,11.53846154,1,0,0.08666666667,2.5,0.08666666667,0.778,23.66666667,0.3,0.3166666667,60,0.39,140,1,1.1e-09,50,0,0,0.35
00010,CDP_drucker_prager_unified,glassy_pc,morris,1,0,,0,0.6666666667,0,0.6666666667,0,0.3333333333,0.6666666667,0,1,26.20741394,0,0.1166666667,0.02,12.33333333,0.926,0.05,1,1924.41811,2269.628624,5.833333333,26.20741394,0.05,30,50,1,0,0.02,2.5,0.02,0.926,12.33333333,0,0.05,60,0.39,140,1,1.1e-09,50,0,0,0.1166666667
